       0.000 	 0.939205 	 0.042941 
  400000.000 	 0.980016 	 0.027848 
  800000.000 	 0.992222 	 0.009763 
 1200000.000 	 0.993355 	 0.006561 
 1600000.000 	 0.995590 	 0.008603 
 2000000.000 	 0.995587 	 0.004154 
 2400000.000 	 0.993950 	 0.006229 
 2800000.000 	 0.996856 	 0.002515 
 3200000.000 	 0.996648 	 0.003101 
 3600000.000 	 0.997383 	 0.002995 
 4000000.000 	 0.995525 	 0.007054 
 4400000.000 	 0.997723 	 0.001773 
 4800000.000 	 0.998329 	 0.001687 
 5200000.000 	 0.998534 	 0.001699 
 5600000.000 	 0.997903 	 0.002087 
 6000000.000 	 0.998438 	 0.001376 
 6400000.000 	 0.998763 	 0.001506 
 6800000.000 	 0.997364 	 0.002333 
 7200000.000 	 0.997430 	 0.002184 
 7600000.000 	 0.996470 	 0.004156 
 8000000.000 	 0.998470 	 0.001550 
 8400000.000 	 0.997931 	 0.002844 
 8800000.000 	 0.998847 	 0.001291 
 9200000.000 	 0.996556 	 0.003665 
 9600000.000 	 0.996630 	 0.004297 
10000000.000 	 0.997108 	 0.001913 
